no,factor,description,factor_type,data_type,remark
1,avg_bal_12,Average balance in past 12 months,Account Balance,Continuous,
2,avg_bal_9,Average balance in past 9 months,Account Balance,Continuous,
3,avg_bal_6,Average balance in past 6 months,Account Balance,Continuous,
4,avg_bal_3,Average balance in past 3 months,Account Balance,Continuous,
5,max_bal_12,Maximum balance in past 12 months,Account Balance,Continuous,
6,max_bal_9,Maximum balance in past 9 months,Account Balance,Continuous,
7,max_bal_6,Maximum balance in past 6 months,Account Balance,Continuous,
8,max_bal_3,Maximum balance in past 3 months,Account Balance,Continuous,
9,min_bal_12,Minimum balance in past 12 months,Account Balance,Continuous,
10,min_bal_9,Minimum balance in past 9 months,Account Balance,Continuous,
11,min_bal_6,Minimum balance in past 6 months,Account Balance,Continuous,
12,min_bal_3,Minimum balance in past 3 months,Account Balance,Continuous,
13,bal_to_avg_bal_12,Current balance to average balance over the last 12 months,Account Balance,Continuous,
14,bal_to_avg_bal_9,Current balance to average balance over the last 9 months,Account Balance,Continuous,
15,bal_to_avg_bal_6,Current balance to average balance over the last 6 months,Account Balance,Continuous,
16,bal_to_avg_bal_3,Current balance to average balance over the last 3 months,Account Balance,Continuous,
17,bal_to_max_bal_12,Current balance to maximum balance in last 12 months,Account Balance,Continuous,
18,bal_to_max_bal_9,Current balance to maximum balance in last 9 months,Account Balance,Continuous,
19,bal_to_max_bal_6,Current balance to maximum balance in last 6 months,Account Balance,Continuous,
20,bal_to_max_bal_3,Current balance to maximum balance in last 3 months,Account Balance,Continuous,
21,bal_to_min_bal_12,Current balance to minimum balance in last 12 months,Account Balance,Continuous,
22,bal_to_min_bal_9,Current balance to minimum balance in last 9 months,Account Balance,Continuous,
23,bal_to_min_bal_6,Current balance to minimum balance in last 6 months,Account Balance,Continuous,
24,bal_to_min_bal_3,Current balance to minimum balance in last 3 months,Account Balance,Continuous,
25,avg_bal_12_to_fin,Average of balance in past 12 months to financed amount,Account Balance,Continuous,
26,avg_bal_9_to_fin,Average of balance in past 9 months to financed amount,Account Balance,Continuous,
27,avg_bal_6_to_fin,Average of balance in past 6 months to financed amount,Account Balance,Continuous,
28,avg_bal_3_to_fin,Average of balance in past 3 months to financed amount,Account Balance,Continuous,
29,max_bal_12_to_fin,Maximum of balance in past 12 months to financed amount,Account Balance,Continuous,
30,max_bal_9_to_fin,Maximum of balance in past 9 months to financed amount,Account Balance,Continuous,
31,max_bal_6_to_fin,Maximum of balance in past 6 months to financed amount,Account Balance,Continuous,
32,max_bal_3_to_fin,Maximum of balance in past 3 months to financed amount,Account Balance,Continuous,
33,min_bal_12_to_fin,Minimum of balance in past 12 months to financed amount,Account Balance,Continuous,
34,min_bal_9_to_fin,Minimum of balance in past 9 months to financed amount,Account Balance,Continuous,
35,min_bal_6_to_fin,Minimum of balance in past 6 months to financed amount,Account Balance,Continuous,
36,min_bal_3_to_fin,Minimum of balance in past 3 months to financed amount,Account Balance,Continuous,
37,bal_to_fin,Current balance to financed amount,Account Balance,Continuous,
38,avg_bal_3_to_avg_bal_12,Average balance over the last 3 months to average balance over the last 12 months,Account Balance,Continuous,
39,avg_bal_3_to_avg_bal_9,Average balance over the last 3 months to average balance over the last 9 months,Account Balance,Continuous,
40,avg_bal_3_to_avg_bal_6,Average balance over the last 3 months to average balance over the last 6 months,Account Balance,Continuous,
41,avg_bal_6_to_avg_bal_12,Average balance over the last 6 months to average balance over the last 12 months,Account Balance,Continuous,
42,avg_bal_6_to_avg_bal_9,Average balance over the last 6 months to average balance over the last 9 months,Account Balance,Continuous,
43,avg_bal_9_to_avg_bal_12,Average balance over the last 9 months to average balance over the last 12 months,Account Balance,Continuous,
